GEOID,income,ba_rate,pop,pop_density
06037115104,74484.66666666667,0.5570035565475354,4345.666666666667,4259.697452676745
06037115202,67309.66666666667,0.37880371995959994,6054.0,3484.2864665916554
06037115203,82192.33333333333,0.39621906653269456,2132.3333333333335,3525.899126324417
06037115204,107699.33333333333,0.4415127494527907,4137.666666666667,5429.9802450730795
06037115301,101657.33333333333,0.36743056743642666,4455.666666666667,2747.384312141663
06037115302,75349.0,0.14529536097237256,3833.3333333333335,4601.93465332826
06037115401,61098.666666666664,0.2496123828923296,5746.333333333333,3016.1835331670836
06037115403,75765.66666666667,0.39529842620802885,3420.3333333333335,4860.209186510587
06037115404,85770.0,0.3604410833554557,2690.3333333333335,2842.0685300861005
06037117101,104258.33333333333,0.38325519754738924,5231.333333333333,6777.980331159663
06037117102,89525.66666666667,0.2439364463706973,2395.6666666666665,2319.8605824150886
06037117201,53982.0,0.20441676604503475,4130.0,5216.945345865792
06037117202,97299.0,0.34717870636184905,2819.0,1554.1330622375435
06037117301,143094.33333333334,0.4445618880391162,3741.0,2808.7567741267026
06037117302,113670.0,0.450928050978975,4868.333333333333,2372.6914183626004
06037117303,127343.66666666667,0.27031600478374407,4269.666666666667,2371.2545230444325
06037117404,126407.0,0.4147179717946177,5229.333333333333,2961.7010222474946
06037117405,45904.333333333336,0.06076609353107976,3194.0,15824.885797239314
06037117407,52701.0,0.05964943232834585,3387.0,17077.770158525273
06037117408,50778.666666666664,0.14082295520739285,2499.0,6637.238653748088
06037117510,56165.0,0.06448047874649278,3795.0,11479.337193052506
06037117520,54270.0,0.0842055918185385,4290.333333333333,13336.980771163688
06037117530,47814.0,0.1452436113318018,5763.333333333333,10583.720658333134
06037119001,112041.33333333333,0.19096587105514873,4362.0,4290.393335234929
06037119003,102023.33333333333,0.09385072471899912,3548.0,4213.226300602059
06037119004,85917.66666666667,0.10378442347015214,2745.0,3257.332855512072
06037119201,107537.33333333333,0.15003748167475317,4024.3333333333335,4247.909295367094
06037119202,77079.0,0.08488659341121595,4560.0,4754.273894136083
06037119310,70826.33333333333,0.21868951683237803,3840.0,9033.12616736689
06037119320,84128.0,0.18959769866311219,4309.0,8858.271763307966
06037119340,45946.666666666664,0.06969123611293711,3756.0,30749.330735413307
06037119341,51860.666666666664,0.23470535574823778,2706.3333333333335,8292.326202280059
06037119342,75820.66666666667,0.19531657377830544,2886.0,13172.127668314324
06037119400,99220.0,0.11679159920675541,4807.666666666667,4302.975028543794
06037119700,92168.33333333333,0.3123153757469958,4417.0,3427.5542146423377
06037119801,109236.0,0.20754152640542647,2619.6666666666665,4299.165932269127
06037119802,90168.66666666667,0.09330201919603953,3154.3333333333335,5032.576399381179
06037119900,86624.0,0.18627795642595776,4369.333333333333,4152.549487346413
06037120010,66265.0,0.18142441226001496,2637.3333333333335,4760.68416181994
06037120020,44920.333333333336,0.2095426644766535,4164.333333333333,8031.408186854796
06037120030,47484.0,0.1949147223676572,2571.6666666666665,6808.646584027436
06037120103,43308.666666666664,0.07684455326273314,2900.6666666666665,20947.827824357926
06037120104,51531.333333333336,0.2720538910093222,2448.3333333333335,5394.135410791502
06037120105,47419.333333333336,0.1688179695436861,2710.0,4919.062364998058
06037120106,38981.333333333336,0.11225681883558214,4233.0,20560.8202956134
06037120107,40315.333333333336,0.08962863225713813,4064.0,20074.58815974709
06037120108,57868.333333333336,0.18427278778278025,4584.333333333333,12177.995487597977
06037120300,60852.666666666664,0.24996230609648798,5410.666666666667,3148.189093053115
06037120400,64450.333333333336,0.17129994279750996,6052.666666666667,5678.866628574038
06037121010,79976.33333333333,0.16738642152077987,5147.0,2527.1272155938527
06037121020,71078.66666666667,0.1828384381034447,3604.3333333333335,4371.389853750671
06037121101,66585.33333333333,0.1973106812202791,3214.6666666666665,6807.100164036715
06037121102,77828.66666666667,0.2065628686414455,2320.3333333333335,310.9157744755167
06037121210,75000.66666666667,0.12933955481235362,3107.6666666666665,1555.8832094617992
